node    gain
   1       0
   2       0
   3       0
   4       0
   5       0
   6       0
   7       0
   8      21
   9      25
  10       0

from   to  cost capacity
   1    2     0      999
   1    3     0      999
   1    4     0      999
   2    5     4       10
   2    6     5        5
   3    5     5        7
   3    7     3        6
   4    3     1        4
   4    6     5        8
   4    7     2        7
   5    6     1        3
   5    8     5       11
   6    8     3        8
   6    9     4        6
   7    9     2       12
   8   10     0      999
   9   10     0      999
